"","Tile1","Tile2","cellTypes"
"9263","chr11:72423984-72437838","chr11:71976967-71978826","Neu"
"9264","chr11:72423984-72437838","chr11:72027441-72028268","Mac1"
"9265","chr11:72423984-72437838","chr11:72285686-72295528","Mac1"
"9266","chr11:72693966-72731213","chr11:72844675-72866682","Mac1"
"9267","chr11:72693966-72731213","chr11:73161245-73162570","Mac1"
"9268","chr11:72693966-72731213","chr11:73163034-73163582","Mac1"
"9269","chr11:72693966-72731213","chr11:73163582-73165138","Mac1,Mac2,Mon"
"9270","chr11:72693966-72731213","chr11:73273732-73276920","Mac1,Mac2,Mon"
"9271","chr11:72753029-72758077","chr11:73273732-73276920","Neu"
"9272","chr11:72753029-72758077","chr11:73288294-73298461","Mac1"
"9273","chr11:72790428-72798778","chr11:73161245-73162570","Mac1"
"9274","chr11:72790428-72798778","chr11:73162570-73163034","Mac1"
"9275","chr11:72790428-72798778","chr11:73163034-73163582","Mac1"
"9276","chr11:72790428-72798778","chr11:73163582-73165138","Mac1"
"9277","chr11:72790428-72798778","chr11:73165138-73167877","Mac1,Mac2,Mon,Neu"
"9278","chr11:72813021-72815373","chr11:72753029-72758077","Mac1"
"9279","chr11:72813021-72815373","chr11:73161245-73162570","Mac1"
"9280","chr11:72813021-72815373","chr11:73162570-73163034","Mac1"
"9281","chr11:72813021-72815373","chr11:73163034-73163582","Mac1"
"9282","chr11:72813021-72815373","chr11:73163582-73165138","Mac1"
"9283","chr11:72813021-72815373","chr11:73165138-73167877","Mac1,Mac2,Mon"
"9284","chr11:72813021-72815373","chr11:73273732-73276920","Neu"
"9285","chr11:72813021-72815373","chr11:73288294-73298461","Mac1,Neu"
"9286","chr11:73137864-73147537","chr11:72758077-72763910","Mon,Neu"
"9287","chr11:73137864-73147537","chr11:72829436-72844675","Mac1"
"9288","chr11:73137864-73147537","chr11:72844675-72866682","nCD4,MK"
"9289","chr11:73137864-73147537","chr11:72866682-72870596","MK"
"9290","chr11:73137864-73147537","chr11:72874930-72879245","Neu"
"9291","chr11:73137864-73147537","chr11:72920075-72933725","Mon,Neu"
"9292","chr11:73137864-73147537","chr11:72946850-72950214","Neu"
"9293","chr11:73137864-73147537","chr11:72952047-72960148","Neu"
"9294","chr11:73137864-73147537","chr11:72960148-72962654","Neu"
"9295","chr11:73137864-73147537","chr11:72962654-72968367","Neu"
"9296","chr11:73137864-73147537","chr11:72984451-72984649","Neu"
"9297","chr11:73137864-73147537","chr11:72984649-72987300","Neu"
"9298","chr11:73137864-73147537","chr11:72987300-72987467","Mon,Neu"
"9299","chr11:73137864-73147537","chr11:72987467-72988683","nCD4,nCD8"
"9300","chr11:73137864-73147537","chr11:73032909-73034640","nCD4,nCD8"
"9301","chr11:73137864-73147537","chr11:73034640-73036179","Mon,Neu"
"9302","chr11:73214368-73220770","chr11:72829436-72844675","Mac1"
"9303","chr11:73214368-73220770","chr11:72844675-72866682","nCD4"
"9304","chr11:73214368-73220770","chr11:72866682-72870596","MK"
"9305","chr11:73301214-73312024","chr11:72866682-72870596","nCD4"
"9306","chr11:73365252-73379958","chr11:73654571-73663847","nCD4"
"9307","chr11:73365252-73379958","chr11:73663847-73664916","nCD8"
"9308","chr11:73388553-73397382","chr11:73630787-73636873","nCD4"
"9309","chr11:73388553-73397382","chr11:73654571-73663847","nCD4"
"9310","chr11:73388553-73397382","chr11:73663847-73664916","nCD4"
"9311","chr11:73388553-73397382","chr11:73664916-73676820","Mac1,Mac2,Mon"
"9312","chr11:73597333-73601600","chr11:73399148-73402118","Mac1,Mac2,Mon"
"9313","chr11:73597333-73601600","chr11:73402118-73403734","Mac1"
"9314","chr11:73597333-73601600","chr11:73403734-73414744","Mac0,Mac1,Mac2,Mon,Neu"
"9315","chr11:73597333-73601600","chr11:73418413-73422577","Mac0,Mac1,Mac2,Mon,Neu"
"9316","chr11:73597333-73601600","chr11:73422577-73423944","Mac0,Mac1,Mac2,Mon,Neu"
"9317","chr11:73597333-73601600","chr11:73423944-73427592","Ery,Neu"
"9318","chr11:73597333-73601600","chr11:73449811-73463763","Mac1"
"9319","chr11:73597333-73601600","chr11:73466241-73468095","Mac1,Mon,Neu"
"9320","chr11:73597333-73601600","chr11:73491787-73493879","Mac1,Mac2,Mon,Neu"
"9321","chr11:73752910-73761791","chr11:73916894-73922396","Ery"
"9322","chr11:73784997-73787808","chr11:73863870-73868853","Ery"
"9323","chr11:73784997-73787808","chr11:73878882-73886186","Mac1,Mac2,Mon,Neu"
"9324","chr11:73784997-73787808","chr11:73916894-73922396","Neu"
"9325","chr11:73873516-73878882","chr11:73784997-73787808","Ery"
"9326","chr11:73981514-73991585","chr11:74175031-74178265","Ery,Mac0,Mac1,Mac2"
"9327","chr11:73981514-73991585","chr11:74178265-74184020","Ery"
"9328","chr11:74167710-74171378","chr11:73878882-73886186","Ery,Mac0,Mac1,Mac2,MK,Mon"
"9329","chr11:74397217-74400506","chr11:74491341-74492616","Mon"
"9330","chr11:74492616-74493976","chr11:73752910-73761791","Neu"
"9331","chr11:74492616-74493976","chr11:73784997-73787808","Ery"
"9332","chr11:74492616-74493976","chr11:74454533-74463855","Mac1,Mac2,Neu"
"9333","chr11:74492616-74493976","chr11:74463990-74471688","nCD4"
"9334","chr11:74492616-74493976","chr11:74744322-74751186","Ery"
"9335","chr11:74744322-74751186","chr11:74392084-74397217","nCD4,nCD8"
"9336","chr11:74942852-74950630","chr11:75257085-75261381","nCD4,nCD8"
"9337","chr11:74988094-74988637","chr11:75257085-75261381","Ery,Mac1"
"9338","chr11:75100432-75109991","chr11:75028669-75030901","nCD4,nCD8"
"9339","chr11:75397992-75402248","chr11:75257085-75261381","Ery,Neu"
"9340","chr11:75397992-75402248","chr11:75403560-75418131","Ery"
"9341","chr11:75397992-75402248","chr11:75579654-75585952","nCD4,nCD8"
"9342","chr11:75524740-75530120","chr11:75320504-75321885","Ery"
"9343","chr11:75524740-75530120","chr11:75403560-75418131","Ery,Mac2"
"9344","chr11:75524740-75530120","chr11:75441915-75446177","Ery,Mac2"
"9345","chr11:75524740-75530120","chr11:75446246-75458861","Ery,Mac2"
"9346","chr11:75560804-75574411","chr11:75441915-75446177","Ery"
"9347","chr11:75560804-75574411","chr11:75579012-75579654","Ery"
"9348","chr11:75579654-75585952","chr11:75441915-75446177","MK"
"9349","chr11:76205469-76212929","chr11:76322646-76325213","MK"
"9350","chr11:76205469-76212929","chr11:76325213-76327334","Ery,Mac2,MK,Mon"
"9351","chr11:76377506-76381920","chr11:75874753-75885408","MK"
"9352","chr11:76664985-76675321","chr11:76591155-76593360","Ery,MK"
"9353","chr11:76855136-76873482","chr11:76873576-76874752","Ery,MK"
"9354","chr11:76855136-76873482","chr11:76874752-76879237","Mac2"
"9355","chr11:77472232-77474808","chr11:77200342-77202762","Mac2"
"9356","chr11:77472232-77474808","chr11:77202762-77203785","Mac2"
"9357","chr11:77472232-77474808","chr11:77203785-77206748","Mac2"
"9358","chr11:77472232-77474808","chr11:77206748-77209169","Mac1"
"9359","chr11:77472232-77474808","chr11:77209169-77218033","Neu"
"9360","chr11:77472232-77474808","chr11:77368211-77371264","nCD8"
"9361","chr11:77472232-77474808","chr11:77372876-77382603","Neu"
"9362","chr11:77472232-77474808","chr11:77386071-77400903","Ery"
"9363","chr11:77472232-77474808","chr11:77414377-77418664","Ery,Neu"
"9364","chr11:77472232-77474808","chr11:77418664-77424366","MK"
"9365","chr11:77586709-77590560","chr11:77121140-77139657","Mac1,Mac2"
"9366","chr11:77586709-77590560","chr11:77209169-77218033","MK"
"9367","chr11:77631725-77642241","chr11:77121140-77139657","Ery"
"9368","chr11:77631725-77642241","chr11:77290627-77303457","Mac2"
"9369","chr11:77812447-77822912","chr11:78041111-78046857","Mac1"
"9370","chr11:78021392-78026616","chr11:78386011-78400547","nCD4,Ery,Mac0,Mac2,MK"
"9371","chr11:78078271-78083011","chr11:77765407-77769843","Mon"
"9372","chr11:78078271-78083011","chr11:78379464-78381050","Neu"
"9373","chr11:78078271-78083011","chr11:78405675-78415373","Ery,Mac0,Mac1,Mac2,MK"
"9374","chr11:78078271-78083011","chr11:78496458-78504543","Ery,MK"
"9375","chr11:78078271-78083011","chr11:78504543-78505570","Mac0"
"9376","chr11:78078271-78083011","chr11:78541491-78545868","Ery,MK"
"9377","chr11:78078271-78083011","chr11:78545868-78567995","Mac0,Mac1,Mac2,Neu"
"9378","chr11:78139356-78144862","chr11:78366946-78370512","Mon"
"9379","chr11:78139356-78144862","chr11:78379464-78381050","Mac0,Mac1,Mac2,MK,Mon,Neu"
"9380","chr11:78139356-78144862","chr11:78386011-78400547","Neu"
"9381","chr11:78139356-78144862","chr11:78400547-78403748","Neu"
"9382","chr11:78139356-78144862","chr11:78405675-78415373","Ery,Mac0,Mac1,Mac2,MK"
"9383","chr11:78139356-78144862","chr11:78496458-78504543","Ery,MK"
"9384","chr11:78139356-78144862","chr11:78504543-78505570","Mac2"
"9385","chr11:78139356-78144862","chr11:78536571-78541206","Ery,MK"
"9386","chr11:78139356-78144862","chr11:78545868-78567995","Mac2"
"9387","chr11:78185292-78189655","chr11:78071746-78078271","Mac2,Neu"
"9388","chr11:78185292-78189655","chr11:78306642-78309165","Mac1,Mon,Neu"
"9389","chr11:78185292-78189655","chr11:78335230-78337900","Mac1,Mon,Neu"
"9390","chr11:78185292-78189655","chr11:78337900-78338353","Mac1,Mon,Neu"
"9391","chr11:78185292-78189655","chr11:78338353-78340102","Mac1,Mon,Neu"
"9392","chr11:78185292-78189655","chr11:78340102-78340560","Mac0,Mac1,Mac2,Mon,Neu"
"9393","chr11:78185292-78189655","chr11:78358866-78364870","Mac0,Mac1,Mac2,Neu"
"9394","chr11:78185292-78189655","chr11:78364870-78366946","Mac0,Mac1,Mac2,Neu"
"9395","chr11:78185292-78189655","chr11:78366946-78370512","MK"
"9396","chr11:78185292-78189655","chr11:78370512-78375709","MK"
"9397","chr11:78185292-78189655","chr11:78375852-78377001","Mon"
"9398","chr11:78185292-78189655","chr11:78377001-78378954","Mon"
"9399","chr11:78185292-78189655","chr11:78378954-78379464","Mon"
"9400","chr11:78185292-78189655","chr11:78379464-78381050","Mon"
"9401","chr11:78185292-78189655","chr11:78381050-78382484","Mac0,Mac1,Mac2,MK,Mon,Neu"
"9402","chr11:78185292-78189655","chr11:78386011-78400547","Neu"
"9403","chr11:78185292-78189655","chr11:78400547-78403748","Neu"
"9404","chr11:78185292-78189655","chr11:78405675-78415373","Ery,Mac0,Mac1,Mac2,MK"
"9405","chr11:78185292-78189655","chr11:78496458-78504543","Ery,MK"
"9406","chr11:78185292-78189655","chr11:78504543-78505570","Ery,MK"
"9407","chr11:78185292-78189655","chr11:78505570-78505878","MK"
"9408","chr11:78185292-78189655","chr11:78505878-78512573","Mac2"
"9409","chr11:78185292-78189655","chr11:78536571-78541206","Mac0"
"9410","chr11:78185292-78189655","chr11:78541491-78545868","Ery,MK"
"9411","chr11:78185292-78189655","chr11:78545868-78567995","Neu"
"9412","chr11:78415373-78420970","chr11:77418664-77424366","Neu"
"9413","chr11:78415373-78420970","chr11:77461796-77469408","nCD4,Mac0,Mac2,MK"
"9414","chr11:78415373-78420970","chr11:77765407-77769843","nCD4,MK"
"9415","chr11:78415373-78420970","chr11:77806346-77809995","Mac2"
"9416","chr11:78415373-78420970","chr11:78041111-78046857","Mac1,Mac2"
"9417","chr11:78415373-78420970","chr11:78055037-78061202","Mac2"
"9418","chr11:78415373-78420970","chr11:78068090-78069902","Mac2"
"9419","chr11:78415373-78420970","chr11:78071746-78078271","Mac2"
"9420","chr11:78415373-78420970","chr11:78145397-78155090","Neu"
"9421","chr11:78415373-78420970","chr11:78176312-78185280","Neu"
"9422","chr11:78415373-78420970","chr11:78207527-78238703","Neu"
"9423","chr11:78415373-78420970","chr11:78251385-78258556","Neu"
"9424","chr11:78415373-78420970","chr11:78261977-78263687","Neu"
"9425","chr11:78415373-78420970","chr11:78265806-78268611","Neu"
"9426","chr11:78415373-78420970","chr11:78270821-78278026","Neu"
"9427","chr11:78415373-78420970","chr11:78296437-78306642","Mac2,Neu"
"9428","chr11:78415373-78420970","chr11:78306642-78309165","Mac1,Mon,Neu"
"9429","chr11:78415373-78420970","chr11:78335230-78337900","Mac1,Mon,Neu"
"9430","chr11:78415373-78420970","chr11:78337900-78338353","Mac1,Mon,Neu"
"9431","chr11:78415373-78420970","chr11:78338353-78340102","Mac1,Mon,Neu"
"9432","chr11:78415373-78420970","chr11:78340102-78340560","Mac1,Mon,Neu"
"9433","chr11:78415373-78420970","chr11:78340560-78344960","Mac0,Mac1,Mac2,Mon,Neu"
"9434","chr11:78415373-78420970","chr11:78358866-78364870","Mac0,Mac1,Mac2,Neu"
"9435","chr11:78415373-78420970","chr11:78364870-78366946","Mac0,Mac1,Mac2,Neu"
"9436","chr11:78415373-78420970","chr11:78366946-78370512","MK"
"9437","chr11:78415373-78420970","chr11:78370512-78375709","MK"
"9438","chr11:78415373-78420970","chr11:78375852-78377001","Mon"
"9439","chr11:78415373-78420970","chr11:78377001-78378954","Mon"
"9440","chr11:78415373-78420970","chr11:78378954-78379464","Mon"
"9441","chr11:78415373-78420970","chr11:78379464-78381050","Mon"
"9442","chr11:78415373-78420970","chr11:78381050-78382484","Mac0,Mac1,Mac2,MK,Mon,Neu"
"9443","chr11:78415373-78420970","chr11:78386011-78400547","MK"
"9444","chr11:78415373-78420970","chr11:78504543-78505570","Mac2"
"9445","chr11:78415373-78420970","chr11:78536571-78541206","Mac0"
"9446","chr11:78415373-78420970","chr11:78541491-78545868","MK"
"9447","chr11:78415373-78420970","chr11:78545868-78567995","Mac2"
"9448","chr11:78568942-78579150","chr11:78041111-78046857","Mac0,Mac1,Mac2,Neu"
"9449","chr11:78568942-78579150","chr11:78366946-78370512","Mac0,Mac1,Mac2,MK,Neu"
"9450","chr11:78568942-78579150","chr11:78386011-78400547","MK"
"9451","chr11:82899414-82903999","chr11:82851244-82853143","Mac0,Mac1,Mac2"
"9452","chr11:82899414-82903999","chr11:82860875-82865831","Mac0,Mac1,Mac2"
"9453","chr11:82899414-82903999","chr11:82865831-82867565","Mac0,Mac1"
"9454","chr11:82899414-82903999","chr11:82867565-82872611","nCD8,Neu"
"9455","chr11:82899414-82903999","chr11:82872611-82879329","nCD4,nCD8"
"9456","chr11:82899414-82903999","chr11:82930253-82935135","nCD4,nCD8"
"9457","chr11:82899414-82903999","chr11:82955897-82958211","nCD4,nCD8"
"9458","chr11:82899414-82903999","chr11:82958289-82961245","nCD4,nCD8"
"9459","chr11:82899414-82903999","chr11:82961245-82964597","nCD8"
"9460","chr11:82899414-82903999","chr11:83034656-83044091","Mac2"
"9461","chr11:82899414-82903999","chr11:83102621-83106751","nCD4,nCD8,Mac1,Neu"
"9462","chr11:82899414-82903999","chr11:83172956-83175899","nCD4,nCD8,Mac1,Neu"
"9463","chr11:82899414-82903999","chr11:83175899-83177236","Mac2"
"9464","chr11:82899414-82903999","chr11:83248152-83249819","Mac2"
"9465","chr11:82899414-82903999","chr11:83249819-83251536","Ery"
"9466","chr11:82899414-82903999","chr11:83251536-83256201","Mac0,Mac1,Mac2"
"9467","chr11:82899414-82903999","chr11:83296835-83304703","MK"
"9468","chr11:83062066-83072593","chr11:82851244-82853143","Mac1,Mac2"
"9469","chr11:83062066-83072593","chr11:82860875-82865831","Mac1"
"9470","chr11:83062066-83072593","chr11:82867565-82872611","nCD8"
"9471","chr11:83062066-83072593","chr11:82872611-82879329","nCD4,nCD8"
"9472","chr11:83062066-83072593","chr11:82930253-82935135","nCD4,nCD8"
"9473","chr11:83062066-83072593","chr11:82955897-82958211","nCD4,nCD8"
"9474","chr11:83062066-83072593","chr11:82958289-82961245","nCD4,nCD8"
"9475","chr11:83062066-83072593","chr11:82961245-82964597","nCD8"
"9476","chr11:83062066-83072593","chr11:83034656-83044091","nCD4,nCD8"
"9477","chr11:83062066-83072593","chr11:83172956-83175899","nCD4,nCD8"
"9478","chr11:83062066-83072593","chr11:83175899-83177236","Mac2"
"9479","chr11:83062066-83072593","chr11:83248152-83249819","Mac2"
"9480","chr11:83062066-83072593","chr11:83249819-83251536","Ery"
"9481","chr11:83062066-83072593","chr11:83251536-83256201","Mac2"
"9482","chr11:83062066-83072593","chr11:83296835-83304703","Mac0,Mac1,Mac2"
"9483","chr11:83156180-83157213","chr11:82812260-82817417","Mac0,Mac1,Mac2,MK"
"9484","chr11:83156180-83157213","chr11:82840973-82849906","MK"
"9485","chr11:83156180-83157213","chr11:82851244-82853143","Mac0,Mac1,Mac2"
"9486","chr11:83156180-83157213","chr11:82860875-82865831","Mac0,Mac1,Mac2"
"9487","chr11:83156180-83157213","chr11:82865831-82867565","Mac0,Mac1"
"9488","chr11:83156180-83157213","chr11:82867565-82872611","nCD8,Neu"
"9489","chr11:83156180-83157213","chr11:82872611-82879329","nCD4,nCD8"
"9490","chr11:83156180-83157213","chr11:82930253-82935135","nCD4,nCD8"
"9491","chr11:83156180-83157213","chr11:82955897-82958211","nCD4,nCD8"
"9492","chr11:83156180-83157213","chr11:82958289-82961245","nCD4,nCD8"
"9493","chr11:83156180-83157213","chr11:82961245-82964597","nCD8"
"9494","chr11:83156180-83157213","chr11:83034656-83044091","Mac2"
"9495","chr11:83156180-83157213","chr11:83102621-83106751","nCD4,nCD8,Mac1,Neu"
"9496","chr11:83156180-83157213","chr11:83172956-83175899","nCD4,nCD8,Mac1,Neu"
"9497","chr11:83156180-83157213","chr11:83175899-83177236","Mac2"
"9498","chr11:83156180-83157213","chr11:83248152-83249819","Mac2"
"9499","chr11:83156180-83157213","chr11:83249819-83251536","Ery"
"9500","chr11:83156180-83157213","chr11:83251536-83256201","Mac0,Mac1,Mac2"
"9501","chr11:83156180-83157213","chr11:83296835-83304703","nCD4,nCD8,Ery,Mac1,Mon,Neu"
"9502","chr11:83156180-83157213","chr11:85745623-85748525","Ery,Mac2,Neu"
"9503","chr11:83156180-83157213","chr11:86067927-86075050","Ery"
"9504","chr11:83156180-83157213","chr11:86164817-86169762","Neu"
"9505","chr11:83156180-83157213","chr11:86247120-86258297","Ery"
"9506","chr11:83156180-83157213","chr11:93739452-93763831","Mac0,Mac1,Mac2,MK"
"9507","chr11:83188608-83202669","chr11:82840973-82849906","MK"
"9508","chr11:83188608-83202669","chr11:82851244-82853143","Mac0,Mac1,Mac2"
"9509","chr11:83188608-83202669","chr11:82860875-82865831","Mac0,Mac1,Mac2"
"9510","chr11:83188608-83202669","chr11:82865831-82867565","Mac0,Mac1"
"9511","chr11:83188608-83202669","chr11:82867565-82872611","nCD4,nCD8"
"9512","chr11:83188608-83202669","chr11:82930253-82935135","nCD4,nCD8"
"9513","chr11:83188608-83202669","chr11:82955897-82958211","nCD4,nCD8"
"9514","chr11:83188608-83202669","chr11:82958289-82961245","nCD4,nCD8"
"9515","chr11:83188608-83202669","chr11:82961245-82964597","nCD8"
"9516","chr11:83188608-83202669","chr11:83034656-83044091","nCD4,nCD8,Mac1,Neu"
"9517","chr11:83188608-83202669","chr11:83172956-83175899","nCD4,nCD8,Mac1,Neu"
"9518","chr11:83188608-83202669","chr11:83175899-83177236","Mac2"
"9519","chr11:83188608-83202669","chr11:83249819-83251536","Mac1"
"9520","chr11:83282021-83286821","chr11:82512544-82523371","Mac0,Mac1,Mac2,MK"
"9521","chr11:83282021-83286821","chr11:82840973-82849906","MK"
"9522","chr11:83282021-83286821","chr11:82851244-82853143","Mac0,Mac1,Mac2"
"9523","chr11:83282021-83286821","chr11:82860875-82865831","Mac0,Mac1,Mac2"
"9524","chr11:83282021-83286821","chr11:82865831-82867565","Mac0,Mac1"
"9525","chr11:83282021-83286821","chr11:82867565-82872611","nCD8,Neu"
"9526","chr11:83282021-83286821","chr11:82872611-82879329","nCD4,nCD8"
"9527","chr11:83282021-83286821","chr11:82930253-82935135","nCD4,nCD8"
"9528","chr11:83282021-83286821","chr11:82955897-82958211","nCD4,nCD8"
"9529","chr11:83282021-83286821","chr11:82958289-82961245","nCD4,nCD8"
"9530","chr11:83282021-83286821","chr11:82961245-82964597","nCD8"
"9531","chr11:83282021-83286821","chr11:83034656-83044091","Mac2"
"9532","chr11:83282021-83286821","chr11:83102621-83106751","nCD4,nCD8,Mac1,Neu"
"9533","chr11:83282021-83286821","chr11:83172956-83175899","nCD4,nCD8,Mac1,Neu"
"9534","chr11:83282021-83286821","chr11:83175899-83177236","Mon"
"9535","chr11:85620448-85629461","chr11:85863830-85866791","Mac1,Mac2"
"9536","chr11:85620448-85629461","chr11:85972560-85974198","Mac0,Mac1,Mac2,MK,Mon"
"9537","chr11:85620448-85629461","chr11:85989041-85990351","Mac1"
"9538","chr11:85620448-85629461","chr11:85990351-85992239","Neu"
"9539","chr11:85620448-85629461","chr11:86026463-86032008","Ery,Neu"
"9540","chr11:85620448-85629461","chr11:86032008-86033030","Ery,Mac2,Neu"
"9541","chr11:85620448-85629461","chr11:86067927-86075050","Neu"
"9542","chr11:85620448-85629461","chr11:86075984-86082777","Ery,Mac1,Mac2,MK,Mon"
"9543","chr11:85620448-85629461","chr11:86188500-86192145","Ery,Mac1,MK,Neu"
"9544","chr11:85620448-85629461","chr11:86207707-86211078","Mac1"
"9545","chr11:85620448-85629461","chr11:86211078-86218230","MK"
"9546","chr11:85620448-85629461","chr11:86235758-86240708","Neu"
"9547","chr11:85620448-85629461","chr11:86247120-86258297","Neu"
"9548","chr11:85620448-85629461","chr11:86272855-86282041","nCD4,nCD8,Ery,Mac1,Mon,Neu"
"9549","chr11:85647887-85650073","chr11:85745623-85748525","nCD4,nCD8"
"9550","chr11:85647887-85650073","chr11:85757709-85758656","Mac0,Mac1,Mac2,MK,Mon"
"9551","chr11:85647887-85650073","chr11:85987014-85989041","Mac0,Mac1,Mac2,MK,Mon"
"9552","chr11:85647887-85650073","chr11:85989041-85990351","Mac1"
"9553","chr11:85647887-85650073","chr11:85990351-85992239","Neu"
"9554","chr11:85647887-85650073","chr11:86026463-86032008","Ery,Neu"
"9555","chr11:85647887-85650073","chr11:86032008-86033030","Ery,Mac2,Neu"
"9556","chr11:85647887-85650073","chr11:86067927-86075050","Ery,Mac1,Mac2,MK,Mon"
"9557","chr11:85647887-85650073","chr11:86188500-86192145","Ery,Mac1,MK,Neu"
"9558","chr11:85647887-85650073","chr11:86207707-86211078","Mac1"
"9559","chr11:85647887-85650073","chr11:86211078-86218230","MK"
"9560","chr11:85647887-85650073","chr11:86235758-86240708","Neu"
"9561","chr11:85647887-85650073","chr11:86247120-86258297","Neu"
"9562","chr11:85647887-85650073","chr11:86272855-86282041","nCD4,nCD8,Ery,Mac1,Mon"
"9563","chr11:85681044-85684375","chr11:85745623-85748525","nCD4,nCD8"
"9564","chr11:85681044-85684375","chr11:85757709-85758656","nCD4,nCD8"
"9565","chr11:85681044-85684375","chr11:85798269-85801305","nCD4"
"9566","chr11:85681044-85684375","chr11:85801305-85801533","Mon"
"9567","chr11:85681044-85684375","chr11:85863830-85866791","Mac1,Mac2"
"9568","chr11:85681044-85684375","chr11:85972560-85974198","Mac0,Mac1,Mac2,MK,Mon"
"9569","chr11:85681044-85684375","chr11:85987014-85989041","Mac0,Mac1,Mac2,MK,Mon"
"9570","chr11:85681044-85684375","chr11:85989041-85990351","Mac1"
"9571","chr11:85681044-85684375","chr11:85990351-85992239","Neu"
"9572","chr11:85681044-85684375","chr11:86026463-86032008","Ery,Neu"
"9573","chr11:85681044-85684375","chr11:86032008-86033030","Ery,Mac2,Neu"
"9574","chr11:85681044-85684375","chr11:86067927-86075050","Ery,Mac1,MK,Mon"
"9575","chr11:85681044-85684375","chr11:86188500-86192145","Ery,Mac1,MK"
"9576","chr11:85681044-85684375","chr11:86207707-86211078","Mac1"
"9577","chr11:85681044-85684375","chr11:86211078-86218230","MK"
"9578","chr11:85681044-85684375","chr11:86235758-86240708","MK"
"9579","chr11:85806682-85814306","chr11:85598663-85602869","nCD4,nCD8"
"9580","chr11:85806682-85814306","chr11:85734891-85745623","nCD4,nCD8,Mac1,Mon"
"9581","chr11:85806682-85814306","chr11:85745623-85748525","nCD4,nCD8"
"9582","chr11:85806682-85814306","chr11:85750431-85757709","nCD4,nCD8"
"9583","chr11:85806682-85814306","chr11:85757709-85758656","nCD4,nCD8"
"9584","chr11:85806682-85814306","chr11:85798269-85801305","nCD4"
"9585","chr11:85806682-85814306","chr11:85801305-85801533","Mac1,Mac2,MK,Mon"
"9586","chr11:85806682-85814306","chr11:85989041-85990351","Mac1,Mac2,MK,Mon"
"9587","chr11:85806682-85814306","chr11:86188500-86192145","Mac1,MK"
"9588","chr11:85806682-85814306","chr11:86207707-86211078","MK"
"9589","chr11:85806682-85814306","chr11:86235758-86240708","Mac1"
"9590","chr11:85806682-85814306","chr11:86415040-86427019","MK"
"9591","chr11:85848489-85855286","chr11:85598663-85602869","Ery"
"9592","chr11:85848489-85855286","chr11:85616210-85617823","nCD4,nCD8,Ery,Mac1,Mon"
"9593","chr11:85848489-85855286","chr11:85745623-85748525","nCD4,nCD8"
"9594","chr11:85848489-85855286","chr11:85750431-85757709","nCD4,nCD8"
"9595","chr11:85848489-85855286","chr11:85757709-85758656","Ery"
"9596","chr11:85848489-85855286","chr11:86032008-86033030","Ery,Mac1,Mac2,MK,Mon"
"9597","chr11:85848489-85855286","chr11:86188500-86192145","Ery,Mac1,MK"
"9598","chr11:85848489-85855286","chr11:86207707-86211078","Mac1"
"9599","chr11:85848489-85855286","chr11:86211078-86218230","MK"
"9600","chr11:85848489-85855286","chr11:86235758-86240708","Neu"
"9601","chr11:85848489-85855286","chr11:86272855-86282041","MK"
"9602","chr11:86067927-86075050","chr11:85598663-85602869","Ery"
"9603","chr11:86067927-86075050","chr11:85616210-85617823","nCD4,nCD8,Ery,Mac1,Mon,Neu"
"9604","chr11:86067927-86075050","chr11:85745623-85748525","nCD4,nCD8"
"9605","chr11:86067927-86075050","chr11:85750431-85757709","nCD4,nCD8"
"9606","chr11:86067927-86075050","chr11:85757709-85758656","nCD4"
"9607","chr11:86067927-86075050","chr11:85801305-85801533","Mon"
"9608","chr11:86067927-86075050","chr11:85863830-85866791","Ery,Mac1,MK"
"9609","chr11:86067927-86075050","chr11:85931109-85944412","Mac1,Mac2"
"9610","chr11:86067927-86075050","chr11:85972560-85974198","Mac1,Mac2"
"9611","chr11:86067927-86075050","chr11:85974198-85987014","Mac0,Mac1,Mac2,MK,Mon"
"9612","chr11:86067927-86075050","chr11:85987014-85989041","Mac0,Mac1,Mac2,MK,Mon"
"9613","chr11:86067927-86075050","chr11:85989041-85990351","Mac1"
"9614","chr11:86067927-86075050","chr11:85990351-85992239","Neu"
"9615","chr11:86067927-86075050","chr11:86026463-86032008","Ery,Neu"
"9616","chr11:86067927-86075050","chr11:86032008-86033030","Neu"
"9617","chr11:86067927-86075050","chr11:86075984-86082777","Ery,Mac0,Mac1,Mac2,Mon,Neu"
"9618","chr11:86067927-86075050","chr11:86128297-86132985","Ery"
"9619","chr11:86067927-86075050","chr11:86164817-86169762","Ery,Mac1,Mac2,MK,Mon"
"9620","chr11:86067927-86075050","chr11:86188500-86192145","Ery,Mac1,MK,Neu"
"9621","chr11:86067927-86075050","chr11:86207707-86211078","Mac1"
"9622","chr11:86067927-86075050","chr11:86211078-86218230","MK"
"9623","chr11:86067927-86075050","chr11:86235758-86240708","Neu"
"9624","chr11:86067927-86075050","chr11:86247120-86258297","Neu"
"9625","chr11:86067927-86075050","chr11:86272855-86282041","MK"
"9626","chr11:86241653-86246596","chr11:85598663-85602869","Ery"
"9627","chr11:86241653-86246596","chr11:85616210-85617823","nCD4,nCD8,Ery"
"9628","chr11:86241653-86246596","chr11:85734891-85745623","nCD4,nCD8,Ery,Mac1,Mon,Neu"
